Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,HD,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
2017-09-26,35.770328521728516,46.93000030517578,18.6893367767334,181.86000061035156,46.55043411254883,132.9642791748047,104.74633026123047,75.20783233642578,74.38371276855469,132.296875,163.2039031982422,48.26850891113281,67.1678695678711,4.248653888702393,74.92294311523438,23.016666412353516,170.1161651611328,97.4090805053711,23.208602905273438,56.07140350341797
2017-09-27,36.024925231933594,47.54349899291992,18.950054168701172,183.27000427246094,47.66624069213867,132.68392944335938,103.79438781738281,76.395751953125,74.76348114013672,133.53981018066406,166.65261840820312,48.126888275146484,67.70878601074219,4.341801166534424,73.4835205078125,22.731332778930664,171.69638061523438,98.30804443359375,23.179367065429688,56.44573974609375
2017-09-28,35.80302047729492,47.81999969482422,19.135944366455078,183.2100067138672,47.910064697265625,133.87123107910156,103.57037353515625,76.55628967285156,75.0726318359375,134.04653930664062,167.69619750976562,47.91819763183594,67.72711944580078,4.3405656814575195,73.49967956542969,22.639999389648438,173.11769104003906,98.96097564697266,23.079967498779297,56.972557067871094
2017-09-29,35.999229431152344,48.067501068115234,19.104440689086914,183.32000732421875,48.35250473022461,134.8606719970703,104.00238037109375,76.66064453125,75.54954528808594,135.00267028808594,169.82308959960938,47.72441864013672,68.2955551147461,4.416912078857422,73.57247161865234,22.739999771118164,172.89698791503906,99.58551025390625,22.84317970275879,56.82699203491211
2017-10-02,35.92680740356445,47.95949935913086,18.941390991210938,185.41000366210938,48.04214859008789,135.24000549316406,104.9703140258789,77.72814178466797,76.26490020751953,135.5955047607422,168.43167114257812,48.11198806762695,68.40557098388672,4.422593593597412,74.21133422851562,22.768667221069336,174.30064392089844,99.7747802734375,22.933801651000977,56.58436584472656
2017-10-03,36.083309173583984,47.85499954223633,18.864986419677734,185.6699981689453,48.27107238769531,136.18817138671875,105.67427062988281,78.13750457763672,76.35325622558594,136.7427978515625,168.91867065429688,47.977821350097656,68.0846939086914,4.431735038757324,74.49433135986328,23.209333419799805,175.3511962890625,99.91670989990234,23.15890121459961,56.67448806762695
2017-10-04,35.849735260009766,48.272499084472656,19.06191062927246,185.8300018310547,48.00788497924805,136.28712463378906,106.30623626708984,77.34288024902344,76.80368041992188,135.85362243652344,167.38809204101562,48.149253845214844,68.47893524169922,4.468797206878662,74.7369384765625,23.667333602905273,176.98434448242188,99.65174865722656,23.120895385742188,56.69530487060547
2017-10-05,36.29587936401367,49.04249954223633,19.193449020385742,187.1199951171875,48.92207717895508,136.9714813232422,106.54622650146484,78.38433837890625,77.4131088256836,137.6538543701172,170.19081115722656,48.149253845214844,69.65250396728516,4.466324329376221,74.42155456542969,23.68866729736328,174.70672607421875,100.53179168701172,23.214441299438477,56.85470962524414
2017-10-06,36.27484893798828,49.479000091552734,19.356504440307617,187.42999267578125,49.34168243408203,136.74887084960938,106.57024383544922,78.24708557128906,76.90968322753906,137.4336395263672,171.1747589111328,48.11198806762695,69.68001556396484,4.4794206619262695,74.66416931152344,23.79199981689453,174.8479461669922,100.99547576904297,23.094589233398438,56.639827728271484
2017-10-09,36.40097427368164,49.54949951171875,19.410064697265625,187.5,49.27564239501953,136.63340759277344,106.75419616699219,77.8353500366211,76.88319396972656,138.4199676513672,171.443115234375,47.9480094909668,69.94589233398438,4.58047342300415,74.49433135986328,22.862667083740234,173.2942352294922,101.26042175292969,23.541860580444336,56.86166763305664
